store_intent,Question,Answer,Intent
store_timings,What time does H&M open?,H&M is open from 10 AM to 10 PM.,general_faq
store_timings,When does Pantaloons close?,Pantaloons closes at 10 PM.,general_faq
store_timings,Tell me the opening hours of Lifestyle,Lifestyle is open from 10 AM to 10 PM,general_faq
store_timings,Can you tell me Levi’s store timings?,Levi’s operates between 10 AM – 10 PM.,store_info
store_timings,At what time does Raymond Shop start?,Raymond Shop opens at 10 AM.,store_info
store_timings,What are the working hours of Westside?,Westside is open from 10 AM – 10 PM.,general_faq
store_timings,Mall timings for Unlimited Fashion?,Unlimited Fashion runs 10 AM – 10 PM.,general_faq
store_timings,Until what time is Spar open?,Spar is open till 10 PM.,general_faq
store_discount,What offers are available at H&M?,H&M is running a Seasonal Sale (30–50%).,general_faq
store_discount,Is there any discount in Pantaloons?,Pantaloons has Flat 40% on selected items.,store_discount
store_discount,Tell me the ongoing sale in Lifestyle.,Lifestyle has Upto 50% Off right now.,store_discount
store_discount,Do you have promotions in Max?,Max is offering Buy 2 Get 1 Free,general_faq
store_discount,Any deals happening in Westside?,Westside has Upto 50% Off on collections.,general_faq
store_discount,Are there any special deals in Levi’s?,Let me check Levi’s offers.,general_faq
store_discount,Do you know the discount percentage in H&M?,Max is running Buy 2 Get 1 Free.,store_discount
store_discount,Is Max giving any Buy 1 Get 1 offer?,"yes,they provide",store_discount
store_info,Tell me about H&M.,H&M offers the latest Western wear.,general_faq
store_info,What is Pantaloons?,Pantaloons is a Fashion & Apparel store.,general_faq
store_info,Can you give details of Lifestyle?,"Yes, Lifestyle is a Fashion & Apparel brand.",general_faq
store_info,Where is the H&M store located?,H&M is on the first floor near the food court.,store_info
store_info,Is there a kids clothing section?,"Van Heusen, Raymond, and Peter England offer formal clothing.",general_faq
store_info,What type of products does Westside sell?,"Yes, Kids Ville and Fame Forever specialize in kids clothing.",store_category
store_info,Describe Reliance Trends,Reliance Trends is a Fashion & Apparel store with festive collections.,general_faq
store_info,What can I find in Van Heusen?,Van Heusen has the latest Western wear in Fashion & Apparel.,general_faq
store_info,Which category does Pantaloons belong to?,Pantaloons belongs to Fashion & Apparel.,store_category
store_info,Do you know about Lifestyle store?,"Yes, Lifestyle is a Fashion & Apparel brand.",store_info
store_info,What’s special in Reliance Trends?,What’s special in Reliance Trends?,general_faq
store_info,What brand is H&M?,H&M is a Fashion & Apparel brand known for latest Western wear.,store_info
parking_info,Where can I park my car in the mall?,Parking is available in the underground,general_faq
parking_info,Do you have two-wheeler parking?,"Yes, two-wheeler parking is available near the entrance.",parking_info
parking_info,Is there parking for four-wheelers?,"Yes, we have spacious car parking in the basement.",parking_info
parking_info,Where is the parking lot located?,The parking lot is located in the basement of the mall.,parking_info
parking_info,Is parking free here?,"Parking is available, charges may apply depending on duration.",parking_info
parking_info,How much is the parking fee?,Parking charges depend on vehicle type and time duration.,parking_info
parking_info,what is minimum charge for vehicle?,for car 50 and bike 20,general_faq
parking_info,Where do I park my vehicle in this mall?,You can park your vehicle in the basement parking area.,general_faq
parking_info,Is valet parking available?,"Yes, valet parking service is available at the main entrance.",parking_info
parking_info,Can I park near the food court side?,"parking near the food court is not possible,so please use basement parking.",restaurant_info
parking_info,Do you have dedicated parking for families/disabled?,"Yes, special parking spots are available near the mall entrance.",parking_info
lift_info,Is there a lift in the mall?,"Yes, lifts are available for easy access across all floors.",lift_info
lift_info,Do you have elevators here?,"Yes, we have elevators on each side of the mall.",general_faq
lift_info,Where is the lift located?,The lifts are located near the central atrium and entrances.,lift_info
lift_info,Can I use the lift to reach the first floor?,"Yes, the lift will take you to all floors including the first floor.",restaurant_location
lift_info,Is there a lift for disabled persons?,"Yes, we have lifts that are wheelchair-friendly.",lift_info
lift_info,Are lifts available near the parking area?,"Yes, lifts connect the parking basement to the main floors.",parking_info
lift_info,Is the lift working right now?,"Yes, all lifts are operational during mall hours.",lift_info
lift_info,Is there a separate lift for staff?,"Yes, we have lifts that are wheelchair-friendly.",lift_info
lift_info,total number of lift in mall,more than 20 lift that are operated in the mall,lift_info
escalator_info,Is there an escalator in the mall?,"Yes, escalators are available on all main floors.",escalator_info
escalator_info,Do you have moving stairs?,"Yes, escalators are provided for easy floor access.",general_faq
escalator_info,Is there an escalator working now?,"Yes, all escalators are operational during mall hours.",escalator_info
escalator_info,How many escalators are there?,The mall has multiple escalators for visitor convenience.,general_faq
escalator_info,Is the escalator safe for kids and elders?,"Yes, escalators are safe, but lifts are also available for comfort.",escalator_info
escalator_info,Is there an escalator near the food court?,Escalators are near the central atrium and entrances.,restaurant_info
escalator_info,Where is the escalator located?,The mall has multiple escalators for visitor convenience.,escalator_info
escalator_info,How many escalators are there?,there  are so many escalators in the mall ,general_faq
escalator_info,Do you have separate up and down escalators?,"Yes, we have both upward and downward escalators.",general_faq
restroom_info,Where is the restroom?,"Yes, the mall has restrooms on every floor. You’ll find one on the ground floor, another on the first floor near the Food Court, and one on the second floor near the cinema.",restroom_info
restroom_info,Can you tell me the restroom location?,You can find a washroom on the ground floor next to the information desk and on higher floors using the lift.,store_info
restroom_info,Is there a restroom in the mall?,"Toilets are located on the first floor near the Food Court, and also on the second floor close to the kids’ play area.",restroom_info
restroom_info,Where can I find the washroom?,"Yes, restrooms are available on the ground floor, first floor, and second floor. Lifts are located beside each restroom for accessibility.",restroom_info
restroom_info,Where are the toilets located?,"Restrooms are available on the ground, first, and second floors, with lift access on all levels.",general_faq
restroom_info,Does this mall have restroom facilities?,"Sure, take the lift to the first floor; the washroom is near the Food Court.",restroom_info
restroom_info,Which floor has the restroom?,You can use the bathroom on the ground floor near the entrance or on the second floor beside the cinema.,restaurant_location
restroom_info,Can you guide me to the washroom?,"Yes, toilets are available for customers on all main floors, and you can use the lift to reach them easily.",restroom_info
restroom_info,Where can I go to the bathroom here?,"The restrooms are situated on the ground floor near the entrance, first floor by the Food Court, and second floor near the cinema.",general_faq
restroom_info,Is there a toilet available for customers?,"Yes, washrooms are on the ground, first, and second floors, with lifts available for convenience.",restroom_info
restroom_info,Where are the restrooms situated?,"The restroom is located on the first floor beside the Food Court, and lifts are available next to it.",general_faq
restroom_info,Do you have washrooms in this mall?,"You can use restrooms on the ground floor, first floor near the Food Court, or second floor near the cinema.",general_faq
restroom_info,Please tell me the location of the restroom.,"Yes, there is a restroom right beside the Food Court on the first floor, with a lift next to it for easy access.",store_info
restroom_info,Where can I use the restroom inside the mall?,You can use the bathroom on the ground floor near the entrance or on the second floor beside the cinema.,restroom_info
restroom_info,Are there restroom facilities near the food court?,yes the restroom facility are available nera the food court,restaurant_info
atm_info,Where is the ATM in the mall?,The ATM is located near the main entrance and is available 24 hours a day,atm_info
atm_info,Can you tell me the location of the ATM?,"Yes, you’ll find the ATM next to the entrance gate, open 24/7",store_info
atm_info,"Is atm is available in the mall?
","Yes, the mall has an ATM near the entrance, and it operates 24 hrs.",atm_info
atm_info,Where can I withdraw cash here?,"You can withdraw cash from the ATM near the entrance, which is open round the clock.",atm_info
atm_info,Do you have ATM facilities in this mall?,"Yes, ATM facilities are available near the mall entrance, and they run 24/7.",atm_info
atm_info,Which floor has the ATM?,"The ATM is not on a floor — it’s right at the ground-level entrance, available 24 hrs.",restaurant_location
atm_info,Is the ATM open all the time?,"Yes, the ATM near the entrance is open 24 hours, every day.",atm_info
atm_info,How do I find the ATM here?,"Simply go to the main entrance, and you’ll see the ATM on the side, working 24/7",atm_info
atm_info,Can I withdraw money at night from the mall ATM?,"Yes, you can. The ATM near the entrance operates 24 hrs, even at night",atm_info
atm_info,Is there a cash machine available inside the mall?,"Yes, a cash machine (ATM) is placed near the entrance, and it’s open all day and night.",atm_info
exit_info,Where is the exit in the mall?,The exit is located at the underground level.,exit_info
exit_info,Can you tell me the exit location?,"Yes, the exit is at the underground floor of the mall",store_info
exit_info,How do I leave the mall?,You can leave the mall through the underground exit.,general_faq
exit_info,Is there an exit in the underground?,"Yes, the main exit is situated at the underground level.",exit_info
exit_info," Which floor has the exit?
",The exit is available at the underground floor.,restaurant_location
exit_info,How can I go out of the mall?,You can go out using the underground exit.,general_faq
exit_info,Where can I find the way out?,The way out is through the underground exit.,exit_info
exit_info,Is the exit on the ground floor?,"No, the exit is located at the underground floor.",restaurant_location
exit_info,Please guide me to the exit.,"Sure, the exit is at the underground level of the mall.",exit_info
exit_info,Where is the way out from the mall?,The way out is at the underground exit.,exit_info
foodcourt_info,Where is the food court in the mall?,The food court is located on the 3rd floor.,restaurant_info
foodcourt_info,Can you tell me the food court location?,"Yes, you’ll find the food court on the third floor of the mall.",store_info
foodcourt_info,"Which floor has the food court?
",The 3rd floor has the food court.,restaurant_info
foodcourt_info,Where can I find restaurants in the mall?,Restaurants are available at the food court on the 3rd floor.,general_faq
foodcourt_info,Is there a food court inside the mall?,"Yes, the food court is on the third floor.",restaurant_info
foodcourt_info,Where can I get something to eat here?,You can grab food at the food court on the 3rd floor.,general_faq
foodcourt_info,How do I reach the food court?,"Take the lift or escalator to the 3rd floor, where the food court is located.",restaurant_info
foodcourt_info,Where are the dining options in this mall?,Dining options are available at the food court on the 3rd floor.,foodcourt_info
foodcourt_info,Please guide me to the food court.,"Sure, the food court is on the third floor, right near the escalators.",restaurant_info
foodcourt_info,Is the food court on the ground floor?,"No, the food court is on the 3rd floor of the mall.",restaurant_info
store_category,What category does H&M belong to?,Fashion & Apparel,store_category
store_category,H&M falls under which category?,Fashion & Apparel,store_category
store_category,In which category is Puma,Fashion & Apparel,store_category
store_category,What type of category is Skechers ?,Fashion & Apparel,store_category
store_category,Barbeque Nation is in which section?,Food and Dining,general_faq
store_category,Can you tell me the category of Burger King?,Food and Dining,store_category
store_category,Which category does HomeTown come under?,Food & Dining,store_category
store_category,Under which category is Revlon listed?,Food & Dining,store_category
store_category,Croma store is categorized as what?, Is the food court on the ground floor?,store_info
store_category,What kind of store is Lenovo in terms of category?,Electronics & Lifestyle,store_info
store_category,Fun Unlimited comes under which store category?,entertainment,store_info
offers_info,Are there any discounts today?,"Yes, you can check ongoing offers at the Offers desk on the ground floor.",general_faq
offers_info,What brands have sales this week?,H&M and Lifestyle are running up to 40% discounts this week.,general_faq
offers_info,Do you have student discounts?,Some stores provide student discounts — please check at billing counters.,general_faq
offers_info,Are there any buy 1 get 1 free offers?,"Yes, some brands are running Buy 1 Get 1 offers on Hamleys and Smily Kiddo",general_faq
offers_info,Which stores are giving offers today?,"Lifestyle, Reliance Trends, and Pantaloons are running offers today. Please check with the store for details.",general_faq
offers_info,Are there any discounts today?,"Yes, you can check ongoing offers at the Offers desk on the ground floor.",general_faq
offers_info,Do electronics shops have any offers?,"Yes, electronics stores have discounts on Croma, Reliance,iPlanet,Home Plus Digital,Lenovo,OnePlus,Chennai Mobiles.",general_faq
offer_info,What offers are available at KFC?,KFC is offering a 20% discount on family buckets this week.,general_faq
offer_info,Tell me the offers at Pizza Hut.,Pizza Hut has a buy 1 get 1 free offer on medium pizzas.,general_faq
offer_info,Are there any deals at McDonald’s?,McDonald’s is running a combo meal offer starting at ?199.,general_faq
offer_info,What offers are there at Domino’s?,Domino’s is giving 30% off on online orders above ?500.,general_faq
offer_info,What deals are available at Burger King?,Burger King has a Whopper combo offer for just ?149.,general_faq
offers_info,What is the weekend offer in Prozone Mall?,"On weekends, selected stores provide special weekend-only discounts.",store_discount
theatre_info,Is there a theatre in the mall?,"Yes, a movie theatre is available inside the mall.",theatre_info
theatre_info,Do you have a cinema here?,The theatre is located next to the food court on the fifth floor.,general_faq
theatre_info,Is there a movie hall in this mall?,"Yes, lifts and escalators connect parking to the theatre level.",theatre_info
theatre_info,Where is the theatre located?,"Yes, the theatre can be accessed directly from the central atrium lifts.",theatre_info
theatre_info,Can I reach the theatre from parking?,The theatre is on the top floor of the mall.,theatre_info
theatre_info,Which floor is the theatre on?,The theatre is on the top floor.,theatre_info
theatre_info,How many screens does the theatre have?,The theatre has 9 screens.,theatre_info
theatre_info,Can I buy tickets at the mall theatre?,"Yes, tickets are available at the theatre counter and online.",theatre_info
theatre_info,What movies are running now?,You can check current shows at the theatre box office or website.,general_faq
entry_info,Do we need to check in before entering the mall?,"Yes, all visitors must go through security check-in.",general_faq
entry_info,How is the check-in process at the mall?,Visitors must go through a quick security and baggage check at the entrance.,general_faq
entry_info,Is check-in compulsory for everyone?,"Yes, check-in is mandatory for all visitors.",general_faq
entry_info,Are bags checked during entry?,"Yes, bags are scanned at the entrance for security purposes.",entry_info
entry_info,Can we carry food items during check-in?,"Outside food may not be allowed inside, depending on mall policy.",restaurant_info
entry_info,Is a laptop bag allowed in the mall?,"Generally no, unless required for specific events or offers.",general_faq
entry_info,Do we need an entry ticket for the mall?,"No, entry to the mall is free; only theatre or event areas may require tickets.",entry_info
entry_info,Do we need to show ID proof at check-in?,"Usually not, but security staff may request it if required.",general_faq
entry_info,Where is the check-in counter in the mall?,The check-in and security counters are available at all main entrances.,general_faq
entry_info,Do kids also need to check in separately?,"No, kids can enter with their guardians, but their bags may still be screened.",general_faq
offers_info,What brands have sales this week?,H&M and Lifestyle are running up to 40% discounts this week.,general_faq
offers_info,Do you have student discounts?,Some stores provide student discounts — please check at billing counters.,general_faq
offers_info,Are there any buy 1 get 1 free offers?,"Yes, some brands are running Buy 1 Get 1 offers on Hamleys and Smily Kiddo",general_faq
offers_info,Which stores are giving offers today?,"Lifestyle, Reliance Trends, and Pantaloons are running offers today. Please check with the store for details.",general_faq
offers_info,Do electronics shops have any offers?,"Yes, electronics stores have discounts on Croma, Reliance, iPlanet, Home Plus Digital, Lenovo, OnePlus, and Chennai Mobiles.",general_faq
offers_info,Does the mall have festival season discounts?,"Yes, during festivals, many stores offer special festive deals and promotions",general_faq
offers_info,Is there an end-of-season sale running now?,"Yes, several fashion brands are running end-of-season sales with up to 50% off.",store_discount
offers_info,Can I find food court offers or meal deals?,"Yes, some restaurants in the food court provide combo offers and discounts on weekdays.",restaurant_info
offers_info,what offer is going in kfc,20% offer is going on kfc at combo offer,store_discount
restaurant_info,Which floor has Domino’s Pizza?,Domino’s is available on the 3rd floor inside the food court.,restaurant_location
restaurant_info,Is there a McDonald’s in the mall?,"Yes, McDonald’s is on the ground floor near the main entrance.",general_faq
restaurant_info,Can I find Barbeque Nation here?,"Yes, Barbeque Nation is on the 1st floor, next to the electronics stores.",general_faq
restaurant_info,Do you have Burger King in the mall?,"Yes, Burger King is available on the 3rd floor near the food court.",general_faq
restaurant_info,Are there any vegetarian restaurants in the mall?,"yes, , Sangeetha Veg Restaurant",general_faq
restaurant_info,Which restaurants are available in the food court?,"The food court on the 3rd floor has KFC, Domino’s, Subway, and Pizza Hut.",restaurant_info
restaurant_info,Is there a coffee shop in the mall?,"Yes, Café Coffee Day and Starbucks are available on the 2nd floor.",store_info
restaurant_info,Can I find fine dining options here?,"Yes, Barbeque Nation and Mainland China offer fine dining on the 1st floor.",foodcourt_info
cinema_info,Is there a cinema in the mall?,"Yes, the mall has an INOX multiplex on the top floor.",general_faq
cinema_info,Which floor is the cinema located on?,The cinema is on the 3rd floor near the food court.,restaurant_location
cinema_info,What is the name of the cinema in this mall?,The mall has an INOX Cinemas multiplex.,general_faq
cinema_info,How many screens are available in the cinema?,The INOX multiplex has 8 screens.,general_faq
cinema_info,Do they show 3D movies in the mall cinema?,"Yes, 3D movie shows are available at INOX Cinemas.",general_faq
cinema_info,Can I buy movie tickets inside the mall?,"Yes, tickets can be purchased at the INOX counter or online.",theatre_info
cinema_info,What movies are playing right now in the cinema?,Please check the INOX movie schedule displayed at the box office or website.,general_faq
cinema_info,Is there an IMAX screen in this mall cinema?,"No, IMAX is not available, but Dolby Atmos sound is provided.",theatre_info
cinema_info,What are the cinema timings here?,Shows start from 10 AM and run until 11 PM daily.,general_faq
cinema_info,Can I reach the cinema directly from parking?,"Yes, lifts and escalators connect parking areas to the cinema floor.",parking_info
restaurant_location, Where is the food court located in the mall?,The food court is on the 3rd floor of the mall.,restaurant_info
restaurant_location,On which floor can I find McDonald’s?,McDonald’s is located on the third floor ,restaurant_location
restaurant_location,Where is KFC in the mall?,KFC is on the 3nd floor,general_faq
restaurant_location,Which floor is Dominos located on?,Dominos is on the 3rd floor inside the food court area.,restaurant_location
restaurant_location,Which floor has Pizza Hut?,Pizza Hut is inside the food court on the 3rd floor.,restaurant_location
restaurant_location,Can you tell me where Burger King is?," Burger King is on the 3nd floor, close to the cinema entrance.",general_faq
fashion_store_info,Where is H&M located in the mall?,H&M is on the 1st floor near the central atrium,general_faq
fashion_store_info,Which floor has Pantaloons?,Pantaloons is located on the 1st floor.,restaurant_location
fashion_store_info,Can you tell me where Lifestyle is?,Lifestyle is on the 1st floor ,general_faq
fashion_store_info,Where can I find Westside in the mall?,Westside is on the 1st floor opposite H&M.,general_faq
fashion_store_info,Is there a Levi’s store in the mall?,"Yes, Levi’s is located on the 1nd floor near the escalator",store_info
fashion_store_info, Where is Allen Solly located?,Allen Solly is on the 1st floor next to Van Heusen.,general_faq
fashion_store_info,Where can I shop for ethnic wear like Biba?,Biba is located on the 1st floor in the women’s fashion area.,store_info
fashion_store_info,Is there a Reliance Trends store in this mall?,"Yes, Reliance Trends is on the 1st floor beside Max Fashion.",store_info
electronic_store_info,Where is the Croma store located in the mall?,Croma is on the 4th floor ,store_info
electronic_store_info,Do you have a Reliance Digital store here?,yes,store_info
electronic_store_info,Can I find Lenovo showroom in this mall?,"Yes, Lenovo is on the 5th floor in the electronics section.",general_faq
electronic_store_info,Where can I find the OnePlus store?,OnePlus is located on the 5th floor next to Croma.,store_info
electronic_store_info,Is there a Xiaomi (Mi) store here?,"Yes, Mi Store is on the 5th floor beside the gaming zone.",store_info
electronic_store_info,Where can I find the HP World store?,HP World is located on the 4th floor in the electronics section.,store_info
books_store_info,Where is Sapna Book House located in the mall?,Sapna Book House is on the 5nd floor near the kids’ play area.,books_store_info
books_store_info,Does Sapna Book House sell school and college textbooks?,"Yes, Sapna Book House has a wide collection of school and college textbooks.",books_store_info
books_store_info,Can I buy competitive exam books at Sapna Book House?,"Absolutely, they stock UPSC, SSC, banking, and other exam preparation books.",books_store_info
books_store_info,Does Sapna Book House have children’s storybooks?,"Yes, a large section is dedicated to kids’ storybooks and activity books.",books_store_info
books_store_info,Is there a stationery section in Sapna Book House?,"Yes, you’ll find notebooks, pens, art supplies, and other stationery items.",books_store_info
books_store_info,Does Sapna Book House sell novels and fiction books?,"Yes, you can find bestsellers, novels, and international fiction titles here.",books_store_info
books_store_info,Can I get magazines at Sapna Book House?,"Yes, they also sell monthly and weekly magazines across different categories.",books_store_info
books_store_info,Does Sapna Book House have educational toys and games?   ,"Yes, they offer a section with educational toys, puzzles, and games for kids.",books_store_info
books_store_info,What are the store timings of Sapna Book House?,Sapna Book House is open daily from11.00 AM to 9.00PM.,store_info
books_store_info,Can I buy books for gifting at Sapna Book House?,"Yes, gift books, greeting cards, and wrapping services are available.",books_store_info
travel_store_info,Where is the Samsonite store in the mall?,The Samsonite store is located on the 5st floor near the escalator,store_info
travel_store_info,What products does Samsonite offer?,"Samsonite specializes in travel bags, luggage, trolleys, and backpacks",store_discount
travel_store_info,Does Samsonite sell cabin luggage?,"Yes, Samsonite has a wide range of lightweight cabin-friendly luggage",general_faq
travel_store_info,Can I buy laptop bags at Samsonite?,"Yes, Samsonite offers laptop bags and business backpacks.",general_faq
travel_store_info,Does Samsonite provide warranty on its products?,"Yes, all Samsonite products come with an official warranty",general_faq
travel_store_info,Are there premium suitcases available at Samsonite?,"Yes, Samsonite offers both premium and budget-friendly luggage options",general_faq
travel_store_info,Does Samsonite have travel accessories?,Does Samsonite have travel accessories?,general_faq
travel_store_info,Are discounts available at the Samsonite store?,"Yes, seasonal discounts and festive offers are available on select products.",store_info
travel_store_info,What are the store timings for Samsonite?,Samsonite is open daily from 11.00 AM to 9.00PM,store_info
travel_store_info,Can I get Samsonite backpacks for students?,"Yes, Samsonite has stylish and durable backpacks for students and professionals.",general_faq
home_store_info,Where is the HomeTown store located in the mall?,HomeTown is on the 4nd floor,store_info
home_store_info,What products does HomeTown sell?,"HomeTown offers furniture, home décor, modular kitchens, and furnishings.",general_faq
home_store_info,Can I buy sofas and beds at HomeTown,"Yes, HomeTown specializes in living room and bedroom furniture like sofas, beds, and dining sets.",general_faq
home_store_info,Does HomeTown sell modular kitchen setups?,"Yes, HomeTown provides modular kitchen solutions with custom designs.",home_store_info
home_store_info,Where is Spar located in the mall?,"Spar Hypermarket is on the fourth floor, covering groceries and household needs",general_faq
home_store_info,What can I buy from Spar?,"Spar sells groceries, fresh fruits, vegetables, packaged food, and daily essentials.",general_faq
home_store_info,Does Spar have home cleaning supplies?,"Yes, Spar offers detergents, cleaning liquids, and home care products.",home_store_info
home_store_info,Can I get electronics or small appliances at Spar?,"Yes, Spar stocks mixers, irons, and other small appliances.",general_faq
home_store_info,What are the store timings for HomeTown and Spar?,Both HomeTown and Spar are open from 10 AM to 10 PM daily.,store_info
home_store_info,Do HomeTown or Spar provide home delivery?,"Yes, both stores provide home delivery services for select products.",home_store_info
mall_offers_info,Are there any mall-wide discounts this week?,"Yes, the mall is running seasonal discounts across multiple stores this week.",general_faq
mall_offers_info,Does the mall have special festival offers?,"Yes, during Diwali, Christmas, and New Year, the mall hosts exclusive festival sales.",general_faq
mall_offers_info,When is the next mall-wide sale event?,The next mega sale is during the festive season in October.,store_discount
mall_offers_info,Is there a clearance sale in the mall?,"Yes, an annual clearance sale is held every March with up to 70% off.",store_discount
mall_offers_info,Are there weekend-only mall offers?,"Yes, selected brands run special weekend-only promotions",general_faq
mall_offers_info,How can I know about ongoing mall offers?,You can check the Offers Desk on the ground floor or the mall’s website/app,general_faq
mall_info,What are the mall opening hours?,The mall is open daily from 10 AM to 10 PM.,general_faq
mall_info,Where is the food court in the mall?,The food court is located on the 3rd floor.,restaurant_info
mall_info,Does the mall have parking?,"Yes, we have underground and multi-level parking.",parking_info
mall_info,Does the mall provide free Wi-Fi?,"Yes, free Wi-Fi is available throughout the mall.",general_faq
mall_info,Does the mall have wheelchair access?,"Yes, the mall has lifts, ramps, and wheelchair-friendly restrooms.",general_faq
mall_info,Does the mall have security services?,"Yes, security staff and CCTV operate 24/7 in the mall.",general_faq
mall_info,how many shops does the mall have,There are 97 shops in the shopping mall,general_faq
